,truncating mutation count,non-truncating mutation count
aceK,0,1
acrB,1,0
adeP,0,1
allD,0,1
ampC,0,1
argG,0,1
arpA,1,0
barA,0,1
borD,0,1
ccmA,1,0
cheR,1,0
crl,1,0
cspC,4,0
cydX,1,0
cynR,0,1
dacA,0,1
dcd,0,1
dosP,0,1
elfA,1,0
elfD,1,0
emrY,0,1
epmB,0,1
essD,0,1
fabR,0,1
fimC,1,0
fimD,1,0
fliK,0,1
fliR,1,0
flu,0,1
frsA,1,0
fruB,0,1
gabP,0,1
glmU,0,1
glnE,0,1
glnG,1,0
glxK,1,0
glyQ,0,1
gpt,1,0
greA,1,0
gtrS,3,1
hcaD,0,1
hfq,0,2
hofM,0,1
icd,0,1
idnR,1,0
ilvH,0,1
ilvN,0,1
infA,0,1
infB,0,1
insI1,2,0
insN,2,0
intE,1,0
iscR,0,2
kgtP,7,10
kup,0,1
lacY,0,1
lacZ,1,0
leuA,0,1
leuL,0,1
lexA,0,1
lhr,0,1
lldR,0,1
lon,0,1
malQ,0,1
manY,0,1
marC,4,1
mdtK,3,2
metJ,2,7
metL,0,1
mpl,1,0
mppA,2,0
mprA,2,0
mrdA,0,1
mrdB,0,2
mreB,0,7
mreC,0,1
murA,0,2
murC,1,0
murG,0,1
nadR,4,1
nagA,4,1
nagC,13,0
nanK,0,1
nmpC,0,1
nrdE,0,1
nusA,0,3
nusG,0,2
ompN,0,1
ompR,2,0
opgH,1,0
otsB,0,1
pdxJ,0,1
pepA,0,1
pepD,1,0
perR,2,0
pgrR,1,0
phoE,1,0
pnp,0,1
polB,0,1
prlF,1,0
proA,2,0
proB,2,0
proQ,2,1
proV,8,0
proX,2,0
prpE,0,1
pstA,1,0
pstB,0,1
pstS,3,0
ptrA,1,0
ptsP,2,1
purL,0,1
purT,1,3
pykF,4,5
rclB,0,1
recE,1,0
relA,2,2
rhaT,0,1
rhmD,0,1
rho,0,3
rlmH,1,0
rlmI,1,0
rnb,5,0
rne,0,1
rnt,0,6
rob,4,3
roxA,0,1
rplM,0,1
rpoA,0,8
rpoB,0,11
rpoC,0,14
rpoD,0,1
rpoS,2,2
rpsA,0,6
rpsC,0,2
rpsD,0,1
rpsG,2,0
rpsL,0,1
rraA,0,1
rrrD,0,1
rsfS,1,0
rspA,0,1
rzoD,0,1
rzpD,0,1
sapA,0,3
sapB,0,3
sapC,0,2
sapD,0,2
sapF,0,1
sfmH,0,1
speA,1,0
spoT,0,17
srmB,0,1
sspA,0,6
ssuA,0,1
tdcD,0,1
thrA,0,1
thrW,2,0
tolA,0,1
tolC,0,1
tqsA,0,1
treR,1,0
trkH,0,1
tufA,1,0
tyrB,0,1
ubiE,0,1
uvrB,0,1
uvrD,1,0
waaS,1,0
wbbK,1,0
wzzE,1,0
yafW,2,0
yafX,2,0
yafY,2,0
yafZ,2,0
yagL,0,1
yagU,1,0
yaiP,1,0
ybbW,1,0
ybeF,0,1
ybeT,0,1
ybeX,0,1
ybhP,0,1
ybjL,4,0
ycaN,0,1
ycfQ,0,1
ycgB,1,0
yciA,0,1
ycjG,0,1
ydcD,1,0
ydcI,0,1
ydfI,0,1
ydhK,0,1
ydiJ,0,1
ydjH,1,0
yeaR,1,0
yedV,0,1
yfcZ,0,1
yfdC,1,0
yfgF,1,0
yfgO,0,1
yfiN,0,1
yfjL,0,1
yfjW,1,0
ygaC,0,1
ygaH,0,1
ygbT,0,1
ygjP,0,1
yhfX,0,1
yhgE,0,1
yhjA,1,0
yhjK,1,1
yicC,0,1
yieK,0,1
yijD,0,1
yjcF,0,1
yjhG,0,1
yjjQ,1,0
ykfA,2,0
ykfB,2,0
ykfC,2,0
ykfF,2,0
ykfG,2,0
ykfH,2,0
ykfI,2,0
ykfK,2,0
ykfL,2,0
ykfN,2,0
yliE,0,1
ynaI,1,0
yobF,1,0
yphC,0,1
yphF,1,0
ypjA,1,1
ytfR,0,2
zntR,0,1
